n	n*n	#proc	run	time [s]	distance	#visited	time/node
128	16384	1	0	0.001228	202.356	5484	2.23924e-07
128	16384	1	1	0.001211	202.356	5484	2.20824e-07
128	16384	1	2	0.001224	202.356	5484	2.23195e-07
128	16384	1	3	0.001213	202.356	5484	2.21189e-07
128	16384	1	4	0.001217	202.356	5484	2.21918e-07
128	16384	1	5	0.00122	202.356	5484	2.22465e-07
128	16384	1	6	0.001212	202.356	5484	2.21007e-07
128	16384	1	7	0.001223	202.356	5484	2.23012e-07
128	16384	1	8	0.001208	202.356	5484	2.20277e-07
128	16384	1	9	0.001225	202.356	5484	2.23377e-07
128	16384	1	10	0.001219	202.356	5484	2.22283e-07
128	16384	1	11	0.001211	202.356	5484	2.20824e-07
128	16384	1	12	0.001214	202.356	5484	2.21371e-07
128	16384	1	13	0.001213	202.356	5484	2.21189e-07
128	16384	1	14	0.001212	202.356	5484	2.21007e-07
128	16384	1	15	0.001222	202.356	5484	2.2283e-07
128	16384	1	16	0.001212	202.356	5484	2.21007e-07
128	16384	1	17	0.001211	202.356	5484	2.20824e-07
128	16384	1	18	0.001221	202.356	5484	2.22648e-07
128	16384	1	19	0.001215	202.356	5484	2.21554e-07
128	16384	1	20	0.001213	202.356	5484	2.21189e-07
128	16384	1	21	0.001215	202.356	5484	2.21554e-07
128	16384	1	22	0.001213	202.356	5484	2.21189e-07
128	16384	1	23	0.001227	202.356	5484	2.23742e-07
128	16384	1	24	0.00121	202.356	5484	2.20642e-07
128	16384	1	25	0.001211	202.356	5484	2.20824e-07
128	16384	1	26	0.001224	202.356	5484	2.23195e-07
128	16384	1	27	0.00121	202.356	5484	2.20642e-07
128	16384	1	28	0.001221	202.356	5484	2.22648e-07
128	16384	1	29	0.001216	202.356	5484	2.21736e-07
128	16384	1	30	0.001212	202.356	5484	2.21007e-07
128	16384	1	31	0.001227	202.356	5484	2.23742e-07
128	16384	1	32	0.001218	202.356	5484	2.22101e-07
128	16384	1	33	0.001212	202.356	5484	2.21007e-07
128	16384	1	34	0.001216	202.356	5484	2.21736e-07
128	16384	1	35	0.00121	202.356	5484	2.20642e-07
128	16384	1	36	0.001218	202.356	5484	2.22101e-07
128	16384	1	37	0.001214	202.356	5484	2.21371e-07
128	16384	1	38	0.001213	202.356	5484	2.21189e-07
128	16384	1	39	0.001219	202.356	5484	2.22283e-07
128	16384	1	40	0.001216	202.356	5484	2.21736e-07
128	16384	1	41	0.001209	202.356	5484	2.2046e-07
128	16384	1	42	0.001212	202.356	5484	2.21007e-07
128	16384	1	43	0.001215	202.356	5484	2.21554e-07
128	16384	1	44	0.001217	202.356	5484	2.21918e-07
128	16384	1	45	0.001212	202.356	5484	2.21007e-07
128	16384	1	46	0.001216	202.356	5484	2.21736e-07
128	16384	1	47	0.00122	202.356	5484	2.22465e-07
128	16384	1	48	0.001214	202.356	5484	2.21371e-07
128	16384	1	49	0.001219	202.356	5484	2.22283e-07
128	16384	2	0	0.001461	202.456	6229	2.34548e-07
128	16384	2	1	0.001381	203.317	6526	2.11615e-07
128	16384	2	2	0.001365	203.022	6469	2.11006e-07
128	16384	2	3	0.001338	203.586	6318	2.11776e-07
128	16384	2	4	0.001407	203.176	6493	2.16695e-07
128	16384	2	5	0.001226	202.011	5792	2.11671e-07
128	16384	2	6	0.001384	203.171	6543	2.11524e-07
128	16384	2	7	0.001318	202.347	6084	2.16634e-07
128	16384	2	8	0.001361	203.272	6202	2.19445e-07
128	16384	2	9	0.001592	203.196	7148	2.2272e-07
128	16384	2	10	0.001503	203.894	7355	2.04351e-07
128	16384	2	11	0.001466	202.964	6469	2.26619e-07
128	16384	2	12	0.001382	203.504	6240	2.21474e-07
128	16384	2	13	0.001454	203.611	6601	2.2027e-07
128	16384	2	14	0.001438	203.164	6606	2.17681e-07
128	16384	2	15	0.00148	202.779	7068	2.09394e-07
128	16384	2	16	0.001474	203.202	6614	2.22861e-07
128	16384	2	17	0.001275	202.639	6049	2.10779e-07
128	16384	2	18	0.001586	203.954	7191	2.20553e-07
128	16384	2	19	0.001315	202.561	6061	2.16961e-07
128	16384	2	20	0.001328	201.924	6272	2.11735e-07
128	16384	2	21	0.001464	203.039	6892	2.1242e-07
128	16384	2	22	0.001402	203.14	6519	2.15064e-07
128	16384	2	23	0.001406	203.644	6779	2.07405e-07
128	16384	2	24	0.001529	204.035	7039	2.17218e-07
128	16384	2	25	0.001518	202.947	6871	2.20929e-07
128	16384	2	26	0.001278	201.918	5903	2.165e-07
128	16384	2	27	0.001421	203.033	6488	2.1902e-07
128	16384	2	28	0.00144	202.949	6837	2.10619e-07
