n	n*n	#proc	run	time [s]	distance
128	16384	1	0	0.002647	415.812
128	16384	1	1	0.002636	415.812
128	16384	1	2	0.002628	415.812
128	16384	1	3	0.002635	415.812
128	16384	1	4	0.002642	415.812
128	16384	1	5	0.002629	415.812
128	16384	1	6	0.002626	415.812
128	16384	1	7	0.002636	415.812
128	16384	1	8	0.002631	415.812
128	16384	1	9	0.002626	415.812
128	16384	1	10	0.002639	415.812
128	16384	1	11	0.002634	415.812
128	16384	1	12	0.002624	415.812
128	16384	1	13	0.002626	415.812
128	16384	1	14	0.002636	415.812
128	16384	1	15	0.002638	415.812
128	16384	1	16	0.002627	415.812
128	16384	1	17	0.002637	415.812
128	16384	1	18	0.002632	415.812
128	16384	1	19	0.002631	415.812
128	16384	2	0	0.004138	415.284
128	16384	2	1	0.003918	416.565
128	16384	2	2	0.004009	416.295
128	16384	2	3	0.003865	414.16
128	16384	2	4	0.003966	414.823
128	16384	2	5	0.003895	417.324
128	16384	2	6	0.003984	415.8
128	16384	2	7	0.003955	415.602
128	16384	2	8	0.003947	417.505
128	16384	2	9	0.00394	414.841
128	16384	2	10	0.003876	414.433
128	16384	2	11	0.003929	415.687
128	16384	2	12	0.003934	414.673
128	16384	2	13	0.003855	414.791
128	16384	2	14	0.003947	416.361
128	16384	2	15	0.004012	416.688
128	16384	2	16	0.003905	414.791
128	16384	2	17	0.003973	416.846
128	16384	2	18	0.00375	414.707
128	16384	2	19	0.003833	416.305
128	16384	3	0	0.00419	414.798
128	16384	3	1	0.003998	414.849
128	16384	3	2	0.004034	417.16
128	16384	3	3	0.004021	415.803
128	16384	3	4	0.004003	415.478
128	16384	3	5	0.004053	415.155
128	16384	3	6	0.004073	415.798
128	16384	3	7	0.003926	416.534
128	16384	3	8	0.004012	414.868
128	16384	3	9	0.004103	415.826
128	16384	3	10	0.003986	414.837
128	16384	3	11	0.004019	416.558
128	16384	3	12	0.00412	416.427
128	16384	3	13	0.003983	415.527
128	16384	3	14	0.004074	415.86
128	16384	3	15	0.004068	415.749
128	16384	3	16	0.004147	416.771
128	16384	3	17	0.004085	414.857
128	16384	3	18	0.004129	417.281
128	16384	3	19	0.004126	416.743
128	16384	4	0	0.004171	415.464
128	16384	4	1	0.004161	413.846
128	16384	4	2	0.004143	416.31
128	16384	4	3	0.004065	414.826
128	16384	4	4	0.004024	415.863
128	16384	4	5	0.004114	416.869
128	16384	4	6	0.00408	413.863
128	16384	4	7	0.004218	415.685
128	16384	4	8	0.004118	416.789
128	16384	4	9	0.0041	417.295
128	16384	4	10	0.004117	414.142
128	16384	4	11	0.004071	415.668
128	16384	4	12	0.004032	415.854
128	16384	4	13	0.004143	416.017
128	16384	4	14	0.004068	415.741
128	16384	4	15	0.004171	416.316
128	16384	4	16	0.004095	415.746
128	16384	4	17	0.004064	416.827
128	16384	4	18	0.004144	417.573
128	16384	4	19	0.004073	416.842
128	16384	5	0	0.004177	416.345
128	16384	5	1	0.004153	415.648
128	16384	5	2	0.004107	415.279
128	16384	5	3	0.004228	416.838
128	16384	5	4	0.004238	413.981
128	16384	5	5	0.004342	417.863
128	16384	5	6	0.004283	416.825
128	16384	5	7	0.004281	416.346
128	16384	5	8	0.004265	416.804
128	16384	5	9	0.004205	414.867
128	16384	5	10	0.004189	415.445
128	16384	5	11	0.004241	415.53
128	16384	5	12	0.00426	416.446
128	16384	5	13	0.004315	416.549
128	16384	5	14	0.004239	414.827
128	16384	5	15	0.004204	416.85
128	16384	5	16	0.004259	415.673
128	16384	5	17	0.004087	415.841
128	16384	5	18	0.004512	418.36
128	16384	5	19	0.004165	415.35
128	16384	6	0	0.004433	414.597
128	16384	6	1	0.00427	416.527
128	16384	6	2	0.004259	414.863
128	16384	6	3	0.004362	417.801
128	16384	6	4	0.004262	415.752
128	16384	6	5	0.00429	414.568
128	16384	6	6	0.004334	416.45
128	16384	6	7	0.004279	415.679
128	16384	6	8	0.004186	417.501
128	16384	6	9	0.004239	415.687
128	16384	6	10	0.004283	415.725
128	16384	6	11	0.004207	416.818
128	16384	6	12	0.00429	416.84
128	16384	6	13	0.004179	414.814
128	16384	6	14	0.004221	415.788
128	16384	6	15	0.004343	418.829
128	16384	6	16	0.004223	416.465
128	16384	6	17	0.004257	415.58
128	16384	6	18	0.004312	415.833
128	16384	6	19	0.004365	415.289
128	16384	7	0	0.004439	417.43
128	16384	7	1	0.004323	416.316
128	16384	7	2	0.004389	417.037
128	16384	7	3	0.00437	417.336
128	16384	7	4	0.0043	415.7
128	16384	7	5	0.004279	416.354
128	16384	7	6	0.004239	416.509
128	16384	7	7	0.004227	415.537
128	16384	7	8	0.004475	416.614
128	16384	7	9	0.004326	415.161
128	16384	7	10	0.004497	416.847
128	16384	7	11	0.00439	416.831
128	16384	7	12	0.004481	416.331
128	16384	7	13	0.004366	415.844
128	16384	7	14	0.004438	416.801
128	16384	7	15	0.004305	415.431
128	16384	7	16	0.004339	415.501
128	16384	7	17	0.004325	414.863
128	16384	7	18	0.004332	417.566
128	16384	7	19	0.004508	415.853
128	16384	8	0	0.00441	415.806
128	16384	8	1	0.00481	416.691
128	16384	8	2	0.004285	416.984
128	16384	8	3	0.004587	416.008
128	16384	8	4	0.004486	415.806
128	16384	8	5	0.004476	414.675
128	16384	8	6	0.004528	415.513
128	16384	8	7	0.00451	416.429
128	16384	8	8	0.004627	416.839
128	16384	8	9	0.004468	415.802
128	16384	8	10	0.004722	416.833
128	16384	8	11	0.004627	418.254
128	16384	8	12	0.004397	415.724
128	16384	8	13	0.004648	414.838
128	16384	8	14	0.004429	416.773
128	16384	8	15	0.004725	417.834
128	16384	8	16	0.004501	417.571
128	16384	8	17	0.004645	416.795
128	16384	8	18	0.004732	416.444
128	16384	8	19	0.004574	417.769
256	65536	1	0	0.010275	819.496
256	65536	1	1	0.010267	819.496
256	65536	1	2	0.010261	819.496
256	65536	1	3	0.010274	819.496
256	65536	1	4	0.010276	819.496
256	65536	1	5	0.010262	819.496
256	65536	1	6	0.010264	819.496
256	65536	1	7	0.010249	819.496
256	65536	1	8	0.010266	819.496
256	65536	1	9	0.010282	819.496
256	65536	1	10	0.010262	819.496
256	65536	1	11	0.010252	819.496
256	65536	1	12	0.010259	819.496
256	65536	1	13	0.010254	819.496
256	65536	1	14	0.010255	819.496
