n	n*n	i	time [s]	distance
128	16384	0	0.000718	203.233
128	16384	1	0.000717	203.233
128	16384	2	0.000712	203.233
128	16384	3	0.00071	203.233
128	16384	4	0.000719	203.233
128	16384	5	0.000708	203.233
128	16384	6	0.000709	203.233
128	16384	7	0.000712	203.233
128	16384	8	0.000715	203.233
128	16384	9	0.000715	203.233
128	16384	10	0.00071	203.233
128	16384	11	0.000708	203.233
128	16384	12	0.000713	203.233
128	16384	13	0.000711	203.233
128	16384	14	0.00071	203.233
128	16384	15	0.000712	203.233
128	16384	16	0.000709	203.233
128	16384	17	0.000719	203.233
128	16384	18	0.000713	203.233
128	16384	19	0.000708	203.233
128	16384	20	0.00071	203.233
128	16384	21	0.00072	203.233
128	16384	22	0.000711	203.233
128	16384	23	0.000711	203.233
128	16384	24	0.000709	203.233
128	16384	25	0.000717	203.233
128	16384	26	0.000716	203.233
128	16384	27	0.000708	203.233
128	16384	28	0.00071	203.233
128	16384	29	0.000711	203.233
128	16384	30	0.00071	203.233
128	16384	31	0.000711	203.233
128	16384	32	0.000713	203.233
128	16384	33	0.000708	203.233
128	16384	34	0.000712	203.233
128	16384	35	0.000709	203.233
128	16384	36	0.000712	203.233
128	16384	37	0.000713	203.233
128	16384	38	0.000716	203.233
128	16384	39	0.000713	203.233
128	16384	40	0.000713	203.233
128	16384	41	0.000708	203.233
128	16384	42	0.00072	203.233
128	16384	43	0.000713	203.233
128	16384	44	0.00071	203.233
128	16384	45	0.00071	203.233
128	16384	46	0.000724	203.233
128	16384	47	0.000711	203.233
128	16384	48	0.000719	203.233
128	16384	49	0.000711	203.233
256	65536	0	0.003355	407.31
256	65536	1	0.003356	407.31
256	65536	2	0.003344	407.31
256	65536	3	0.003345	407.31
256	65536	4	0.003343	407.31
256	65536	5	0.003358	407.31
256	65536	6	0.003352	407.31
256	65536	7	0.003359	407.31
256	65536	8	0.003355	407.31
256	65536	9	0.003354	407.31
256	65536	10	0.003346	407.31
256	65536	11	0.003353	407.31
256	65536	12	0.003353	407.31
256	65536	13	0.003346	407.31
256	65536	14	0.003353	407.31
256	65536	15	0.003353	407.31
256	65536	16	0.00335	407.31
256	65536	17	0.00335	407.31
256	65536	18	0.003363	407.31
256	65536	19	0.00335	407.31
256	65536	20	0.003348	407.31
256	65536	21	0.003347	407.31
256	65536	22	0.003359	407.31
256	65536	23	0.003347	407.31
256	65536	24	0.00335	407.31
256	65536	25	0.003361	407.31
256	65536	26	0.003355	407.31
256	65536	27	0.003357	407.31
256	65536	28	0.003355	407.31
256	65536	29	0.003356	407.31
256	65536	30	0.003353	407.31
256	65536	31	0.003363	407.31
256	65536	32	0.00336	407.31
256	65536	33	0.003349	407.31
256	65536	34	0.003355	407.31
256	65536	35	0.00335	407.31
256	65536	36	0.003339	407.31
256	65536	37	0.003346	407.31
256	65536	38	0.003354	407.31
256	65536	39	0.003354	407.31
256	65536	40	0.003354	407.31
256	65536	41	0.00335	407.31
256	65536	42	0.003354	407.31
256	65536	43	0.003359	407.31
256	65536	44	0.003358	407.31
256	65536	45	0.003356	407.31
256	65536	46	0.00335	407.31
256	65536	47	0.003358	407.31
256	65536	48	0.003352	407.31
256	65536	49	0.003355	407.31
512	262144	0	0.027473	813.173
512	262144	1	0.027199	813.173
512	262144	2	0.027057	813.173
512	262144	3	0.026969	813.173
512	262144	4	0.026962	813.173
512	262144	5	0.026923	813.173
512	262144	6	0.026927	813.173
512	262144	7	0.026916	813.173
512	262144	8	0.026941	813.173
512	262144	9	0.026857	813.173
512	262144	10	0.026862	813.173
512	262144	11	0.026867	813.173
512	262144	12	0.026893	813.173
512	262144	13	0.027063	813.173
512	262144	14	0.02696	813.173
512	262144	15	0.026888	813.173
512	262144	16	0.026856	813.173
512	262144	17	0.026853	813.173
512	262144	18	0.026854	813.173
512	262144	19	0.026947	813.173
512	262144	20	0.026874	813.173
512	262144	21	0.026887	813.173
512	262144	22	0.026932	813.173
512	262144	23	0.026854	813.173
512	262144	24	0.026855	813.173
512	262144	25	0.026867	813.173
512	262144	26	0.026879	813.173
512	262144	27	0.026897	813.173
512	262144	28	0.026902	813.173
512	262144	29	0.026873	813.173
512	262144	30	0.026862	813.173
512	262144	31	0.026859	813.173
512	262144	32	0.026845	813.173
512	262144	33	0.026847	813.173
512	262144	34	0.026852	813.173
512	262144	35	0.026901	813.173
512	262144	36	0.026911	813.173
512	262144	37	0.026803	813.173
512	262144	38	0.026849	813.173
512	262144	39	0.026806	813.173
512	262144	40	0.026833	813.173
512	262144	41	0.026882	813.173
512	262144	42	0.026919	813.173
512	262144	43	0.02694	813.173
512	262144	44	0.026832	813.173
512	262144	45	0.026851	813.173
512	262144	46	0.026862	813.173
512	262144	47	0.026827	813.173
512	262144	48	0.026871	813.173
512	262144	49	0.026879	813.173
1024	1048576	0	0.114593	1627.81
1024	1048576	1	0.114646	1627.81
1024	1048576	2	0.114838	1627.81
1024	1048576	3	0.114637	1627.81
1024	1048576	4	0.114911	1627.81
1024	1048576	5	0.114632	1627.81
1024	1048576	6	0.114635	1627.81
1024	1048576	7	0.114764	1627.81
1024	1048576	8	0.114593	1627.81
1024	1048576	9	0.114795	1627.81
1024	1048576	10	0.114843	1627.81
1024	1048576	11	0.114566	1627.81
1024	1048576	12	0.114881	1627.81
1024	1048576	13	0.114567	1627.81
1024	1048576	14	0.114761	1627.81
1024	1048576	15	0.114765	1627.81
1024	1048576	16	0.11464	1627.81
1024	1048576	17	0.114948	1627.81
1024	1048576	18	0.114795	1627.81
1024	1048576	19	0.114564	1627.81
1024	1048576	20	0.114802	1627.81
1024	1048576	21	0.11476	1627.81
1024	1048576	22	0.115113	1627.81
1024	1048576	23	0.114885	1627.81
1024	1048576	24	0.114628	1627.81
1024	1048576	25	0.114921	1627.81
1024	1048576	26	0.114702	1627.81
1024	1048576	27	0.114774	1627.81
1024	1048576	28	0.11487	1627.81
1024	1048576	29	0.114673	1627.81
1024	1048576	30	0.114897	1627.81
1024	1048576	31	0.114684	1627.81
1024	1048576	32	0.114668	1627.81
1024	1048576	33	0.114868	1627.81
1024	1048576	34	0.114657	1627.81
1024	1048576	35	0.114723	1627.81
1024	1048576	36	0.114794	1627.81
1024	1048576	37	0.114635	1627.81
1024	1048576	38	0.114891	1627.81
1024	1048576	39	0.114637	1627.81
1024	1048576	40	0.114582	1627.81
1024	1048576	41	0.114898	1627.81
1024	1048576	42	0.114721	1627.81
1024	1048576	43	0.114785	1627.81
1024	1048576	44	0.114913	1627.81
1024	1048576	45	0.114718	1627.81
1024	1048576	46	0.114844	1627.81
1024	1048576	47	0.114867	1627.81
1024	1048576	48	0.114734	1627.81
1024	1048576	49	0.114701	1627.81
2048	4194304	0	0.453575	3252.07
2048	4194304	1	0.453393	3252.07
2048	4194304	2	0.45353	3252.07
2048	4194304	3	0.453261	3252.07
2048	4194304	4	0.453497	3252.07
2048	4194304	5	0.453437	3252.07
2048	4194304	6	0.453741	3252.07
2048	4194304	7	0.453678	3252.07
2048	4194304	8	0.453618	3252.07
2048	4194304	9	0.453874	3252.07
2048	4194304	10	0.453601	3252.07
2048	4194304	11	0.45382	3252.07
2048	4194304	12	0.453843	3252.07
2048	4194304	13	0.454041	3252.07
2048	4194304	14	0.453664	3252.07
2048	4194304	15	0.453922	3252.07
2048	4194304	16	0.453806	3252.07
2048	4194304	17	0.453509	3252.07
2048	4194304	18	0.454081	3252.07
2048	4194304	19	0.453395	3252.07
2048	4194304	20	0.453635	3252.07
2048	4194304	21	0.453665	3252.07
2048	4194304	22	0.453657	3252.07
2048	4194304	23	0.453858	3252.07
2048	4194304	24	0.453902	3252.07
2048	4194304	25	0.454091	3252.07
2048	4194304	26	0.453758	3252.07
2048	4194304	27	0.454143	3252.07
2048	4194304	28	0.45353	3252.07
2048	4194304	29	0.453839	3252.07
2048	4194304	30	0.453681	3252.07
2048	4194304	31	0.4538	3252.07
2048	4194304	32	0.45365	3252.07
2048	4194304	33	0.453953	3252.07
2048	4194304	34	0.453624	3252.07
2048	4194304	35	0.453542	3252.07
2048	4194304	36	0.453747	3252.07
