numactl --cpunodebind=0 --membind=4

for (int i = 0; i <= nr; i++)
	nl_pos = nl_pos->next;

HolyGraph
n	n*n	i	a	time [s]	distance
3000	9000000	1	16	7.32384	9400.01
3000	9000000	3	16	2.92963	9401.18
3000	9000000	5	16	1.93926	9400.01
3000	9000000	7	16	1.50237	9401.18
3000	9000000	1	32	7.33706	9400.01
3000	9000000	3	32	2.88616	9401.18
3000	9000000	5	32	1.87982	9401.18
3000	9000000	7	32	1.44303	9401.43
3000	9000000	1	64	7.3376	9400.01
3000	9000000	3	64	2.85352	9400.01
3000	9000000	5	64	1.84828	9400.01
3000	9000000	7	64	1.41682	9400.01
3000	9000000	1	128	7.33798	9400.01
3000	9000000	3	128	2.84921	9400.01
3000	9000000	5	128	1.84564	9400.01
3000	9000000	7	128	1.41632	9400.01
3000	9000000	1	256	7.33148	9400.01
3000	9000000	3	256	2.85504	9400.01
3000	9000000	5	256	1.86407	9400.01
3000	9000000	7	256	1.43345	9400.01

CircleGraph
n	n*n	i	a	time [s]	distance
3000	9000000	1	16	5.13886	4862.75
3000	9000000	3	16	1.99128	4862.75
3000	9000000	5	16	1.31343	4862.75
3000	9000000	7	16	1.02999	4862.75
3000	9000000	1	32	5.1449	4862.75
3000	9000000	3	32	1.9598	4862.75
3000	9000000	5	32	1.26054	4862.75
3000	9000000	7	32	0.96363	4862.75
3000	9000000	1	64	5.14482	4862.75
3000	9000000	3	64	1.93913	4862.75
3000	9000000	5	64	1.24027	4862.75
3000	9000000	7	64	0.93897	4862.75
3000	9000000	1	128	5.14131	4862.75
3000	9000000	3	128	1.91818	4862.75
3000	9000000	5	128	1.22619	4863.33
3000	9000000	7	128	0.930979	4862.75
3000	9000000	1	256	5.1422	4862.75
3000	9000000	3	256	1.89838	4862.75
3000	9000000	5	256	1.20637	4862.75
3000	9000000	7	256	0.912875	4862.75
