numactl --cpunodebind=0 --membind=4

for (int i = 0; i <= a*nr; i++)
	nl_pos = nl_pos->next;

HolyGraph
n	n*n	i	a	time [s]	distance
3000	9000000	1	16	7.34459	9400.01
3000	9000000	3	16	2.93977	9400.01
3000	9000000	5	16	1.87947	9400.01
3000	9000000	7	16	1.43708	9400.6
3000	9000000	1	32	7.34345	9400.01
3000	9000000	3	32	2.88902	9400.6
3000	9000000	5	32	1.85453	9400.6
3000	9000000	7	32	1.4137	9400.01
3000	9000000	1	64	7.3443	9400.01
3000	9000000	3	64	2.87279	9401.43
3000	9000000	5	64	1.85168	9400.84
3000	9000000	7	64	1.42015	9401.43
3000	9000000	1	128	7.3448	9400.01
3000	9000000	3	128	2.87018	9401.18
3000	9000000	5	128	1.87642	9400.01
3000	9000000	7	128	1.46187	9400.6
3000	9000000	1	256	7.34249	9400.01
3000	9000000	3	256	2.88812	9400.01
3000	9000000	5	256	1.93202	9400.01
3000	9000000	7	256	1.55343	9400.01

CircleGraph
n	n*n	i	a	time [s]	distance
3000	9000000	1	16	5.05625	4862.75
3000	9000000	3	16	1.96264	4862.75
3000	9000000	5	16	1.25453	4862.75
3000	9000000	7	16	0.950953	4862.75
3000	9000000	1	32	5.05241	4862.75
3000	9000000	3	32	1.91481	4862.75
3000	9000000	5	32	1.22087	4862.75
3000	9000000	7	32	0.930097	4863.33
3000	9000000	1	64	5.0579	4862.75
3000	9000000	3	64	1.89659	4862.75
3000	9000000	5	64	1.2025	4862.75
3000	9000000	7	64	0.906776	4862.75
3000	9000000	1	128	5.06395	4862.75
3000	9000000	3	128	1.87827	4862.75
3000	9000000	5	128	1.1975	4862.75
3000	9000000	7	128	0.903123	4862.75
3000	9000000	1	256	5.04836	4862.75
3000	9000000	3	256	1.86842	4862.75
3000	9000000	5	256	1.1915	4862.75
3000	9000000	7	256	0.915915	4862.75
